company,title,count,title_norm,manual_department
State Farm,CRC,17,crc,
Travelers,General Liability Unit Manager,19,general liability unit manager,
,Sabbatical,79,sabbatical,
US Bank,Customer Service,79,customer service,
Target,Guest Service,26,guest service,
Lloyds Banking Group,AML Analyst,24,aml analyst,
BNY Mellon,TA Administrator,23,ta administrator,
Amica Mutual Insurance,Claims Adjuster,31,claims adjuster,
RBC,"Financial Planner, Investment and Retirement Planner",16,financial planner investment and retirement planner,
USAA,Data Scientist,42,data scientist,
Nevada State Bank,Branch Customer Service Manager,17,branch customer service manager,
Holiday Companies,Assistant Manager,17,assistant manager,
KeyPoint Government Solutions,Background Investigator,19,background investigator,
Bank Of America Merrill Lynch,Credit Risk Analyst,28,credit risk analyst,
Wells Fargo Advisors,"Vice President, Financial Advisor",15,vice president financial advisor,
JPMorgan Chase,Client Service Officer,26,client service officer,
London Business School,MBA,24,mba,
Barclays,First cashier,21,first cashier,
American Express,Agile Program Manager,17,agile program manager,
JP Morgan Chase,technical analyst,13,technical analyst,
Prosperity Mortgage,Home Mortgage Consultant,13,home mortgage consultant,
Sungard Consulting Services,Lead Senior Consultant,13,lead senior consultant,
BNY Mellon,System Engineer,18,system engineer,
Republic Bank Limited,Clerical Officer,25,clerical officer,
Alliance Bank,Senior executive,34,senior executive,
Citigroup,HR Manager,22,hr manager,
HSBC,Corporate Associate,15,corporate associate,
US Army,LTC,13,ltc,
Abercrombie & Fitch,Assistant Store Manager,76,assistant store manager,
House of Fraser,Sales Advisor,50,sales advisor,
People's United Bank,Customer Service Representative,85,customer service representative,
LPL Financial,Senior Compliance Analyst,20,senior compliance analyst,
d-fine GmbH,Senior Consultant,14,senior consultant,
Edward Jones Investment Co,Branch Office Administrator,12,branch office administrator,
Frost Bank,Personal Banker I,13,personal banker i,
J.P. Morgan,Quantitative Researcher,40,quantitative researcher,
Northwestern Mutual,Financial Services Intern,152,financial services intern,
GE Capital,Project Leader,48,project leader,
Luxoft,Senior Oracle Developer,16,senior oracle developer,
Charles Schwab,Summer Intern,25,summer intern,
JPMorgan Chase,Test Lead,19,test lead,
Capital One,Assistant Sales Manager,13,assistant sales manager,
Great-West Financial,Retirement Representative,13,retirement representative,
Paine Webber,Managing Director,17,managing director,
S&P Global Market Intelligence,Associate,17,associate,
RBC Bank,Manager,16,manager,
Bank of America,Loan Originator,66,loan originator,
TD,IT Audit Manager,17,it audit manager,
company,self,14,self,
Sears Holdings Corporation,Software Engineer,14,software engineer,
Bank of America,Regional Chief Appraiser,23,regional chief appraiser,
HSBC,Legal Counsel (Secondee),30,legal counsel secondee,
Farmers Insurance,Underwriting Specialist,15,underwriting specialist,
Canada Revenue Agency,Taxpayer Services Agent,29,taxpayer services agent,
Columbia Bank,Credit Analyst,38,credit analyst,
Vanderbilt University,Undergraduate Teaching Assistant,16,undergraduate teaching assistant,
Northern Trust Corporation,Hedge Fund Analyst,28,hedge fund analyst,
JP Morgan Chase,Various,12,various,
Mars,Project Engineer,185,project engineer,
Verizon Wireless,Technical Support Coordinator,85,technical support coordinator,
Travelers,Forensic Specialist,14,forensic specialist,
State Street Bank,Client Service Manager,45,client service manager,
Barclays Investment Bank,HR Business Partner,28,hr business partner,
Wells Fargo Home Mortgage,Customer Service,80,customer service,
Bank of America,Sr Loan Processor,39,sr loan processor,
TD Bank Group,Senior Project Manager,14,senior project manager,
Coldwell Banker Residential Brokerage,Real Estate Consultant,15,real estate consultant,
BBVA Compass,Business Development Officer,42,business development officer,
Cahill Gordon & Reindel LLP,Summer Associate,14,summer associate,
Mars,Senior Brand Manager,95,senior brand manager,
BNY Mellon,Application Developer Intern,15,application developer intern,
Simon-Kucher & Partners,Associate Consultant,117,associate consultant,
Mars,TECHNICIAN,25,technician,
Mizuho Securities USA Inc.,Managing Director,18,managing director,
DICK'S Sporting Goods,Operations Associate,17,operations associate,
CIBC,Financial Service Associate,382,financial service associate,
Wells Fargo,Economist,12,economist,
Tata Consultancy Services,Senior Consultant,80,senior consultant,
Andreessen Horowitz,Executive Assistant,15,executive assistant,
Lettuce Entertain You Restaurants,Server,15,server,
Ford Motor Credit Company,Dealer Credit Analyst,37,dealer credit analyst,
Northeastern University,Administrative Assistant,16,administrative assistant,
"Sears, Roebuck and Co.",Retail Sales Associate,15,retail sales associate,
Intuit,Account Executive,13,account executive,
